-0.133630621,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BSB,SBL,BK3,BKB,PEL,BOX,BKG,CSP,CSL,CKT,CQT,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,EVL,EDV,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,KTE,LAX,MPN,POL,ROW,RU7,RUG,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,TOW,VBV,VVO,WLF,WRF,WRG
AFG,0.371075334,0.415914458,0.597614305,0.285165065,0.449088713,0.1535648,0.336434955,0.42026448,-0.133630621,0.239045722,-0.071428571,0.273820776,-0.049629167,0.199099515,-0.049629167,0.257119901,0.345715338,-0.049629167,-0.049629167,-0.071428571,0.597614305,0.44320263,0.356348323,0.328290158,0.150187852,0.104828484,0.069945464,-0.049629167,-0.049629167,0.282368598,0.286294731,0.394771017,-0.119522861,0.167964107,0.417455539,0.484452142,0.295789547,0.362877792,-0.049629167,-0.071428571,0.198516667,-0.119522861,0.295928841,-0.089087081,-0.104828484,0.279932114,0.236064173,-0.071428571,-0.06752237,-0.071428571,0.34860357,0.484452142,0.271049542,0.395514606,-0.119522861,0.44320263,0.25,0.421388587,0.246265914,0.012998528
AHO,0.257826235,-0.050996617,-0.08304548,0.180652558,-0.078007645,0.106698103,0.129401645,0.292003263,0.371390676,-0.08304548,-0.049629167,0.190252957,-0.034482759,0.138336002,-0.034482759,0.17864905,-0.129341637,-0.034482759,-0.034482759,-0.049629167,-0.08304548,-0.111978502,0.092847669,-0.009917336,0.104351771,0.072835704,0.048598691,-0.034482759,-0.034482759,0.015091697,0.198919965,-0.068572548,-0.08304548,0.116702861,0.077818719,-0.1024439,0.205517042,0.042852222,-0.034482759,-0.049629167,0.137931034,-0.08304548,0.205613825,-0.061898446,-0.072835704,0.058167975,0.097525022,-0.049629167,-0.046915106,-0.049629167,0.242212665,-0.1024439,0.111978502,-0.099929762,-0.08304548,-0.111978502,0.173702083,0.084643803,0.114071739,0.212239911
ALB,0.257826235,0.288980832,0.415227399,0.25058258,0.31203058,0.179446809,0.254629044,-0.121208902,-0.092847669,-0.08304548,0.694808334,-0.248792328,-0.034482759,0.188946735,1,-0.267973575,0.424979665,-0.034482759,-0.034482759,0.694808334,0.415227399,0.307940881,0.247593784,0.347106774,0.104351771,0.072835704,0.048598691,-0.034482759,-0.034482759,0.377292413,0.198919965,0.274290193,0.415227399,0.116702861,0.290051588,0.336601385,0.205517042,0.282027413,-0.034482759,-0.049629167,0.137931034,-0.08304548,0.205613825,0.557086015,-0.072835704,0.167232928,0.164019355,0.694808334,0.891387009,0.694808334,0.335371383,-0.1024439,-0.193417413,0.462175147,-0.08304548,0.307940881,-0.198516667,0.084643803,0.228143479,-0.058704656
ALG,0.656517899,0.489311127,0.334664011,0.572846292,0.505224802,0.296659272,0.579749521,0.638326239,-0.267261242,0.478091444,0.178571429,0.358073322,-0.099258333,0.427335545,0.347404167,0.321399876,0.664837188,-0.099258333,-0.099258333,0.178571429,0.334664011,0.644658371,0.623609564,0.605195769,0.300375705,0.209656967,0.139890928,-0.099258333,-0.099258333,0.538672402,0.572589462,0.592156525,0.119522861,0.335928214,0.712728969,0.526578415,0.591579093,0.687029496,-0.099258333,-0.142857143,0.285367709,-0.239045722,0.591857683,0.267261242,-0.209656967,0.489227153,0.462558177,0.178571429,0.270089482,0.178571429,0.630167991,0.652957234,0.245409721,0.494393257,-0.239045722,0.644658371,0.339285714,0.543211828,0.352981143,0.230723872
ANZ,-0.196901201,-0.172784146,-0.117782988,-0.320273274,-0.110637853,-0.132413212,-0.221025022,-0.171909979,-0.131685384,-0.117782988,-0.070388799,-0.352860914,-0.048906724,-0.515626481,-0.048906724,-0.38006558,-0.183444597,-0.048906724,-0.048906724,-0.070388799,-0.117782988,-0.158818549,-0.270686623,-0.274281318,-0.376170721,-0.219517843,-0.275709122,-0.048906724,-0.048906724,-0.417387314,-0.30052679,-0.097256102,-0.117782988,-0.542292789,-0.190638917,-0.145295671,-0.255048318,-0.236041263,-0.048906724,0.369541193,-0.324007046,0.176674483,-0.356425739,-0.087790256,0.219517843,-0.226873206,0.315147838,-0.070388799,-0.06653946,-0.070388799,-0.18497716,-0.145295671,0.501722235,-0.141729881,0.588914942,-0.158818549,-0.281555195,-0.470359375,-0.478620991,-0.219359447
ARG,0.190716457,0.490394721,0.245718047,0.091385932,0.40392085,-0.27265199,0.226948077,0.199695822,-0.274721128,0.319433461,0.036711155,0.167795699,-0.204057731,0.275787582,0.025507216,0.223000356,0.232354078,-0.204057731,-0.204057731,0.036711155,0.245718047,0.362387973,0.423528406,0.271429992,0.463139839,0.431017967,0.287591221,-0.204057731,-0.204057731,0.357230973,0.217515655,0.329704374,-0.122859023,0.189690441,0.28781614,0.368067986,0.076011431,0.134164415,0.025507216,-0.293689239,0.165796906,-0.012285902,0.175753591,0.091573709,-0.18857036,0.005378424,-0.111489343,0.036711155,0.034703539,0.036711155,0.261859396,0.303114812,-0.184488423,0.3233955,-0.491436093,0.362387973,-0.100955676,0.337693184,0.329081702,0.158665999
ARM,0.639103093,0.687815741,0.925570182,0.578897672,0.73711848,0.354875881,0.625537475,0.377775505,-0.247456699,0.503027273,0.589207936,0.081555156,-0.091903111,0.423872898,0.409386584,0.223638556,0.729732087,-0.091903111,-0.091903111,0.589207936,0.925570182,0.820721022,0.65988453,0.708847131,0.27811732,0.194121006,0.129524756,-0.091903111,-0.091903111,0.698404381,0.530159544,0.731035536,0.503027273,0.311035324,0.773042652,0.790730427,0.547742009,0.70095066,0.409386584,-0.132271169,0.304951231,-0.221332,0.547999954,0.734871409,-0.194121006,0.485345587,0.445198236,0.589207936,0.556986032,0.589207936,0.735828535,0.471601555,0.104208755,0.823207451,-0.221332,0.820721022,0.282579316,0.608862614,0.504401602,-0.016958851
AUS,0.778804146,0.763747495,0.553958867,0.771746555,0.775756734,0.277511285,0.818517979,0.603531425,-0.127846412,0.716588993,0.44798557,0.387355027,-0.158269885,0.647843522,0.348193747,0.490462445,0.823579489,-0.158269885,-0.158269885,0.44798557,0.553958867,0.84803716,0.82232075,0.833905425,0.497582631,0.384448745,0.276593865,-0.179372536,-0.158269885,0.836760715,0.727760128,0.807822682,0.188041083,0.614583196,0.868042099,0.792622425,0.65244059,0.827903557,0.274334467,-0.273347127,0.593512069,-0.431986272,0.711643697,0.429311409,-0.367733582,0.587914239,0.507306005,0.44798557,0.440234727,0.44798557,0.812406494,0.653801548,0.038157779,0.789277906,-0.447232847,0.84803716,0.523915327,0.818610646,0.636427829,0.30813362
AUT,-0.073982913,-0.034144635,-0.042893633,-0.121401308,-6.46E-17,-0.171176227,-0.152119941,-0.199198793,-0.266425217,0.157276653,0.213615403,-0.176376888,0.148421762,-0.197508529,0.089053057,-0.021359633,-0.00530206,0.148421762,0.148421762,0.213615403,-0.042893633,0.024099068,-0.026642522,-0.008537302,0.029943609,-0.03135017,0.092039199,-0.207790467,0.148421762,0.033778238,-0.111677935,-0.039353613,0.128680898,-0.150694826,-0.030449977,0.037795048,0.022114821,-0.088362438,0.207790467,-0.128169242,-0.207790467,0.300255428,-0.09308988,0.088808406,-0.094050511,-0.112665783,-0.240413861,0.213615403,0.175008997,0.213615403,-0.037424487,-0.138581841,-0.214700784,0.086024158,-0.100085143,0.024099068,-0.256338484,-0.108700691,-0.127657694,-0.163269125
AZE,0.646166129,0.718905851,0.851648584,0.536802402,0.775206264,0.317347636,0.596846289,0.479508631,-0.235936441,0.286395099,0.346811664,0.20453836,-0.087624594,0.420424376,0.240967634,0.288458493,0.669081769,-0.087624594,-0.087624594,0.346811664,0.851648584,0.782512648,0.629163841,0.693029556,0.265169667,0.185083771,0.123494777,-0.087624594,-0.087624594,0.613595356,0.505478156,0.697002438,0.512496493,0.296555185,0.737053927,0.835419667,0.522242075,0.659685038,0.240967634,-0.126113332,0.33876294,-0.211027968,0.522488012,0.741514527,-0.185083771,0.459601105,0.440930272,0.346811664,0.327845639,0.346811664,0.674671521,0.576426288,0.222189246,0.800341896,-0.211027968,0.782512648,0.323165414,0.655216982,0.491742404,-0.056965247
BAH,0.66496212,0.692591902,0.458189795,0.568848109,0.728359702,0.26964438,0.638659584,0.640690758,-0.216730362,0.775398115,0.147441956,0.366459627,-0.117078743,0.437470366,-0.117078743,0.495992584,0.658727298,-0.117078743,-0.117078743,0.147441956,0.458189795,0.778219348,0.676461432,0.749205761,0.354303852,0.247297867,0.165006336,-0.117078743,-0.117078743,0.608481992,0.5652718,0.713021184,0.140981475,0.406014945,0.759622766,0.770186335,0.53424442,0.716480468,0.321966542,-0.168505093,0.41343431,-0.281962951,0.562372218,0.315244162,-0.247297867,0.533086978,0.493395215,0.147441956,0.039822522,0.147441956,0.703768078,0.770186335,0.234383898,0.694483962,-0.281962951,0.778219348,0.510781062,0.746742118,0.423615827,0.131282195
