NOC,Predicted Medal,Predicted Gold,Average Loss
TTO,0,0,0.092085195
TTO,0,0,0.103303572
SUR,0.325424373,0,0.047960673
SUR,0.087756373,0.054196209,0.071143866
SYR,0.915758371,0,0.149909947
SYR,0.566753387,0,0.146924797
UAE,0.13872987,0.037052516,0.108248973
UAE,0,0,0.105240605
VIE,0.278290778,0.278290778,0.070972506
VIE,0.692816436,0.393028378,0.087264599
AUS,51.72552621,15.2319442,0.113265273
AUS,52.91422224,15.70201206,0.091909121
TJK,0.267985761,0.267985761,0.042870942
TJK,0.350597531,0.32788828,0.04586245
NIG,0.228620112,0.121410921,0.034189219
NIG,0.122757077,0.013322723,0.039046021
ALG,0,0,0.093570972
ALG,0.135556027,0.135556027,0.099080707
JAM,5.998696715,3.690979242,0.036266453
JAM,9.326337337,4.060110211,0.040051405
MDA,0.546444595,0.125569388,0.02231611
MDA,0.005818478,0,0.031058844
AFG,0.046564162,0.046564162,0.045556013
AFG,0.007919837,0.007919837,0.049780829
SMR,3.4494735,0.045443777,0.02306024
SMR,2.706374288,0,0.037772344
EGY,4.779656053,0.755661368,0.059782582
EGY,6.405371904,0.820632994,0.07239876
ISR,2.093329161,1.887749434,0.051446152
ISR,3.242133409,1.490822315,0.061435519
SUD,0.195749864,0.195749864,0.032107523
SUD,0,0,0.054164944
MAS,3.157688379,0.128474742,0.02669241
MAS,3.866603076,0,0.046237076
SAM,0,0,0.038769541
SAM,0.098954573,0.098954573,0.095203079
BRA,21.34976435,6.114470303,0.119630256
BRA,23.35869634,7.484954357,0.080261315
CRO,10.96778393,4.994820654,0.042080172
CRO,10.53662896,4.844679236,0.052990571
MEX,2.641033351,0.292410448,0.065831092
MEX,1.792397708,0,0.031017395
BRN,1.538140774,0.225997299,0.023418644
BRN,0.96933639,0,0.017766889
TUR,10.13791293,0,0.036247586
TUR,13.98002017,0.776426889,0.028528614
NOR,7.775119156,3.238723457,0.012765925
NOR,7.018874034,3.104859933,0.009994076
TKM,0.860707998,0.144628733,0.033366793
TKM,1.024268746,0.138387114,0.04400682
GHA,1.065478206,0.100828618,0.056346938
GHA,1.0952214,0.024973456,0.053025351
GRE,4.757811889,2.440518141,0.023844674
GRE,6.958110258,3.04587245,0.028370046
INA,4.062219501,0.817000866,0.082270388
INA,3.541326284,1.111795902,0.110615839
IND,7.064691067,0.851391017,0.118635245
IND,7.841572165,1.176283121,0.084555118
PHI,2.532158136,0.994118512,0.054932043
PHI,4.915518761,0,0.039307513
MRI,0.089535177,0.089535177,0.066628915
MRI,0.244144291,0.244144291,0.048461508
BAR,0.041201957,0.041201957,0.032920607
BAR,0.233775452,0,0.040176437
VEN,4.490028858,1.06378305,0.072941561
VEN,3.562938452,1.257997036,0.065127697
PER,0.24053365,0,0.03268702
PER,0.254664779,0.028466599,0.030487509
KUW,0.837045491,0,0.077994367
KUW,1.015888572,0,0.081815769
ROC,60.25744516,18.28574181,0.059416493
ROC,101.9174887,28.83268356,0.045830609
MOZ,0.014094138,0.014094138,0.081074583
MOZ,0,0,0.075125894
CYP,0,0,0.043153841
CYP,0.008614028,0.008614028,0.054374303
NED,28.92964125,9.423665106,0.088107931
NED,30.32740045,9.240064323,0.051683
